FID	IID	expression
BLSA-1556	BLSA-1556	25.259
BLSA-1579	BLSA-1579	21.3116
BLSA-1595	BLSA-1595	55.1146
BLSA-1603	BLSA-1603	-22.997
BLSA-1640	BLSA-1640	-118.4035
BLSA-1775	BLSA-1775	37.8441
BLSA-1802	BLSA-1802	-55.5892
BLSA-1805	BLSA-1805	22.865
BLSA-1838	BLSA-1838	43.0584
BLSA-1839	BLSA-1839	29.4811
BLSA-1840	BLSA-1840	9.7511
BLSA-1883	BLSA-1883	124.0589
BLSA-1889	BLSA-1889	-28.763
BLSA-1924	BLSA-1924	119.7027
BLSA-1961	BLSA-1961	-23.9128
BLSA-2000	BLSA-2000	-33.0005
BLSA-2020	BLSA-2020	-20.4096
BLSA-2037	BLSA-2037	-56.5658
BLSA-2066	BLSA-2066	-44.9414
BLSA-2069	BLSA-2069	-23.6459
BLSA-2093	BLSA-2093	-126.1945
BLSA-2102	BLSA-2102	-35.0369
BLSA-745	BLSA-745	82.9028
BLSA-827	BLSA-827	18.1107
JHU-384	JHU-384	40.2953
JHU-705	JHU-705	-57.3044
JHU-710	JHU-710	11.3899
JHU-712	JHU-712	7.7941
JHU-713	JHU-713	35.08
JHU-719	JHU-719	-48.2764
JHU-993	JHU-993	98.2215
JHU-994	JHU-994	-74.392
JHU-995	JHU-995	-12.8079
UMARY-1028	UMARY-1028	-22.8453
UMARY-1037	UMARY-1037	-58.2741
UMARY-1064	UMARY-1064	81.2886
UMARY-1065	UMARY-1065	-45.8035
UMARY-1076	UMARY-1076	3.7018
UMARY-1078	UMARY-1078	27.7769
UMARY-1079	UMARY-1079	-54.4103
UMARY-1104	UMARY-1104	-0.1458
UMARY-1105	UMARY-1105	9.1903
UMARY-1114	UMARY-1114	-58.005
UMARY-1133	UMARY-1133	26.6618
UMARY-1134	UMARY-1134	-57.053
UMARY-1136	UMARY-1136	8.0383
UMARY-1158	UMARY-1158	57.0286
UMARY-1170	UMARY-1170	35.2838
UMARY-1206	UMARY-1206	42.846
UMARY-1209	UMARY-1209	-66.4855
UMARY-1226	UMARY-1226	-1.4951
UMARY-1230	UMARY-1230	-39.2787
UMARY-1260	UMARY-1260	-54.5736
UMARY-1326	UMARY-1326	14.3905
UMARY-142	UMARY-142	52.7102
UMARY-1454	UMARY-1454	-27.5572
UMARY-1465	UMARY-1465	-22.0781
UMARY-1486	UMARY-1486	-16.555
UMARY-1496	UMARY-1496	24.1606
UMARY-1498	UMARY-1498	105.3049
UMARY-1502	UMARY-1502	-57.4555
UMARY-1535	UMARY-1535	3.1296
UMARY-1540	UMARY-1540	-40.6286
UMARY-1541	UMARY-1541	75.5127
UMARY-1544	UMARY-1544	-40.5099
UMARY-1545	UMARY-1545	-18.5813
UMARY-1568	UMARY-1568	7.2071
UMARY-1570	UMARY-1570	37.4612
UMARY-1571	UMARY-1571	-12.4579
UMARY-1578	UMARY-1578	6.0235
UMARY-1583	UMARY-1583	-24.0094
UMARY-1584	UMARY-1584	-3.2033
UMARY-1611	UMARY-1611	-31.4459
UMARY-1612	UMARY-1612	-22.4094
UMARY-1613	UMARY-1613	-14.0516
UMARY-1614	UMARY-1614	80.6988
UMARY-1648	UMARY-1648	26.1655
UMARY-1652	UMARY-1652	112.6359
UMARY-1668	UMARY-1668	34.0319
UMARY-1710	UMARY-1710	39.9567
UMARY-1712	UMARY-1712	22.3601
UMARY-1713	UMARY-1713	9.8212
UMARY-1715	UMARY-1715	-78.4581
UMARY-1792	UMARY-1792	-32.4068
UMARY-1795	UMARY-1795	-65.3506
UMARY-1797	UMARY-1797	-22.5972
UMARY-1825	UMARY-1825	14.0608
UMARY-1827	UMARY-1827	73.419
UMARY-1830	UMARY-1830	14.5178
UMARY-1846	UMARY-1846	-68.2795
UMARY-1847	UMARY-1847	-58.198
UMARY-1849	UMARY-1849	58.7855
UMARY-1862	UMARY-1862	-13.0278
UMARY-1865	UMARY-1865	-13.4424
UMARY-1866	UMARY-1866	33.1286
UMARY-1867	UMARY-1867	44.0892
UMARY-1902	UMARY-1902	-75.6543
UMARY-1903	UMARY-1903	-4.4294
UMARY-1907	UMARY-1907	17.9864
UMARY-1917	UMARY-1917	-52.2995
UMARY-1935	UMARY-1935	32.6411
UMARY-1936	UMARY-1936	16.9306
UMARY-1939	UMARY-1939	-15.8018
UMARY-1940	UMARY-1940	-5.7115
UMARY-4263	UMARY-4263	-61.0558
